PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Is indexable page,Canonical URL,Canonical URL code,Canonical URL patch,Canonical URL patch status,No. of canonical inlinks,No. of all inlinks,First found at
2,https://www.taketypingtest.com/,Free Typing Practice — Improve Your WPM & Accuracy | TakeTypingTest,text/html; charset=utf-8,false,200,0,false,https://taketypingtest.com/,307,,,0,2,
1,https://www.taketypingtest.com/3-minute-typing-test,3 Minute Typing Test — Free WPM & Accuracy Check | TakeTypingTest,text/html; charset=utf-8,false,200,0,false,https://taketypingtest.com/3-minute-typing-test,307,,,0,1,https://taketypingtest.com/3-minute-typing-test
1,https://www.taketypingtest.com/10-minute-typing-test,10 Minute Typing Test — Professional Endurance WPM | TakeTypingTest,text/html; charset=utf-8,false,200,0,false,https://taketypingtest.com/10-minute-typing-test,307,,,0,1,https://taketypingtest.com/10-minute-typing-test
1,https://www.taketypingtest.com/typing-speed-test,Free Typing Speed Test — Check Your WPM Instantly | TakeTypingTest,text/html; charset=utf-8,false,200,0,false,https://taketypingtest.com/typing-speed-test,307,,,0,1,https://taketypingtest.com/typing-speed-test
1,https://www.taketypingtest.com/20-minute-typing-test,20 Minute Typing Test — Elite Endurance WPM | TakeTypingTest,text/html; charset=utf-8,false,200,0,false,https://taketypingtest.com/20-minute-typing-test,307,,,0,1,https://taketypingtest.com/20-minute-typing-test
1,https://www.taketypingtest.com/5-minute-typing-test,5 Minute Typing Test — Sustained WPM & Accuracy | TakeTypingTest,text/html; charset=utf-8,false,200,0,false,https://taketypingtest.com/5-minute-typing-test,307,,,0,1,https://taketypingtest.com/5-minute-typing-test
1,https://www.taketypingtest.com/lessons/top-row,Typing Lesson: top row | TakeTypingTest,text/html; charset=utf-8,false,200,0,false,https://taketypingtest.com/lessons/top-row,307,,,0,1,https://taketypingtest.com/lessons/top-row
1,https://www.taketypingtest.com/lessons/punctuation,Typing Lesson: punctuation | TakeTypingTest,text/html; charset=utf-8,false,200,0,false,https://taketypingtest.com/lessons/punctuation,307,,,0,1,https://taketypingtest.com/lessons/punctuation
1,https://www.taketypingtest.com/lessons/home-row-basics,Typing Lesson: home row basics | TakeTypingTest,text/html; charset=utf-8,false,200,0,false,https://taketypingtest.com/lessons/home-row-basics,307,,,0,1,https://taketypingtest.com/lessons/home-row-basics
1,https://www.taketypingtest.com/learn-typing,Learn Touch Typing Free — 10-Lesson Interactive Course | TakeTypingTest,text/html; charset=utf-8,false,200,0,false,https://taketypingtest.com/learn-typing,307,,,0,1,https://taketypingtest.com/learn-typing
1,https://www.taketypingtest.com/lessons/symbols,Typing Lesson: symbols | TakeTypingTest,text/html; charset=utf-8,false,200,0,false,https://taketypingtest.com/lessons/symbols,307,,,0,1,https://taketypingtest.com/lessons/symbols
1,https://www.taketypingtest.com/about,About TakeTypingTest — Free Typing Test & Touch Typing Course,text/html; charset=utf-8,false,200,0,false,https://taketypingtest.com/about,307,,,0,1,https://taketypingtest.com/about
1,https://www.taketypingtest.com/lessons/bottom-row,Typing Lesson: bottom row | TakeTypingTest,text/html; charset=utf-8,false,200,0,false,https://taketypingtest.com/lessons/bottom-row,307,,,0,1,https://taketypingtest.com/lessons/bottom-row
1,https://www.taketypingtest.com/lessons/common-bigrams,Typing Lesson: common bigrams | TakeTypingTest,text/html; charset=utf-8,false,200,0,false,https://taketypingtest.com/lessons/common-bigrams,307,,,0,1,https://taketypingtest.com/lessons/common-bigrams
1,https://www.taketypingtest.com/lessons/speed-drill-2,Typing Lesson: speed drill 2 | TakeTypingTest,text/html; charset=utf-8,false,200,0,false,https://taketypingtest.com/lessons/speed-drill-2,307,,,0,1,https://taketypingtest.com/lessons/speed-drill-2
1,https://www.taketypingtest.com/lessons/numbers,Typing Lesson: numbers | TakeTypingTest,text/html; charset=utf-8,false,200,0,false,https://taketypingtest.com/lessons/numbers,307,,,0,1,https://taketypingtest.com/lessons/numbers
1,https://www.taketypingtest.com/lessons/capitalization,Typing Lesson: capitalization | TakeTypingTest,text/html; charset=utf-8,false,200,0,false,https://taketypingtest.com/lessons/capitalization,307,,,0,1,https://taketypingtest.com/lessons/capitalization
1,https://www.taketypingtest.com/1-minute-typing-test,1 Minute Typing Test — Free WPM Speed Check | TakeTypingTest,text/html; charset=utf-8,false,200,0,false,https://taketypingtest.com/1-minute-typing-test,307,,,0,1,https://taketypingtest.com/1-minute-typing-test
1,https://www.taketypingtest.com/lessons/speed-drill-1,Typing Lesson: speed drill 1 | TakeTypingTest,text/html; charset=utf-8,false,200,0,false,https://taketypingtest.com/lessons/speed-drill-1,307,,,0,1,https://taketypingtest.com/lessons/speed-drill-1
